textbox3,textbox7,textbox12,textbox23,textbox10,textbox9,textbox11,textbox8
"Friday, June 6, 2025",All,All,True,All,All,All,All

Location,textbox39,textbox89,AnimalName,Species,PrimaryBreed,textbox90,PrimaryColour,Stage,ReviewDate,StageChangeReason,ARN,textbox61,textbox78,SecondaryBreed,Gender,SecondaryColour,textbox79,SubLocation,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,textbox47
  Dog Adoptions D,7,A0052249653,SPECK,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",2y 6m 17d,Black,Available - Behind the Scenes,,bmc,,250.00,Medium,Mix,M,White,,10,,,,,372
  Dog Adoptions D,7,A0058622451,Creamsicle,Dog,"Terrier, Pit Bull",2y 4d,White,Hold - Surgery,,Needs spay,,,Medium,Mix,F,Tan,,08,,,,,372
  Dog Adoptions D,7,A0058622487,YODA,Dog,"Terrier, Pit Bull",2y 24d,Tan,Hold - Surgery,,,,,Medium,Mix,M,,,06,,,,,372
  Dog Adoptions D,7,A0058622518,Rocky,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",3y 5m 30d,Black,Hold - Behavior,,,,,Medium,Mix,M,White,,05,,,,,372
  Dog Adoptions D,7,A0058640624,Snow Cone,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",5y 13d,White,Hold - Surgery,,needs neuter,,,Medium,Mix,M,,,07,,,,,372
  Dog Adoptions D,7,A0058640645,CROUTON,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",3y 7d,Brindle,Hold - Surgery,,needs neuter,,,Medium,Mix,M,White,,02,,,,,372
  Dog Adoptions D,7,A0058640973,RUDY,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",1y 1m 7d,Black,Hold - Surgery,,needs neuter,,,Medium,Mix,M,White,,03,,,,,372
  Dog Holding E,14,A0058070414,SCARLET,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",5y 2m 13d,Brown,Hold - Doc,,doc to check skin,,250.00,Medium,Mix,F,White,,08,,,,,372
  Dog Holding E,14,A0058260722,Leo,Dog,"Terrier, American Pit Bull",2m 1d,Brown,Hold - Behavior,,medically cleared,,,Small,Mix,M,White,,05,,,,,372
  Dog Holding E,14,A0058260794,Frannie,Dog,"Terrier, American Pit Bull",2m 1d,Red,Hold - Behavior,,medically cleared,,0.00,Small,Mix,F,White,,05,,,,,372
  Dog Holding E,14,A0058530381,Momo,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",7y 18d,Brindle,Hold - Behavior Mod.,,,,,Large,Mix,M,White,,06,,,,,372
  Dog Holding E,14,A0058545048,Bermuda,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",3m 11d,Brindle,Hold - Behavior,,,,,Medium,Mix,F,,,07,,,,,372
  Dog Holding E,14,A0058545088,Jamaica,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",3m 11d,White,Hold - Behavior,,,,,Medium,Mix,M,Brindle,,10,,,,,372
  Dog Holding E,14,A0058545098,Largo,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",3m 11d,White,Hold - Behavior,,,,,Medium,Mix,M,Brindle,,10,,,,,372
  Dog Holding E,14,A0058545107,Tego,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",3m 11d,Black,Hold - Behavior,,,,,Medium,Mix,F,White,,07,,,,,372
  Dog Holding E,14,A0058545116,Bonnie,Dog,"Terrier, Jack Russell",3y 10d,White,Available - Behind the Scenes,,,,250.00,Medium,Mix,F,Tan,,01,,,,,372
  Dog Holding E,14,A0058545133,Winnie,Dog,Whippet,1y 9d,Red,Available - Behind the Scenes,,,,250.00,Medium,Mix,F,White,,02,,,,,372
  Dog Holding E,14,A0058596028,Pancake,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",3y 1d,Tan,Hold - Surgery,,,,,Medium,Mix,F,White,,04,,,,,372
  Dog Holding E,14,A0058597214,Bella,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",5y 8d,Black,Hold - Dental,,,,,Medium,Mix,F,Tan,,03,,,,,372
  Dog Holding E,14,A0058639325,Benji,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",10y 2d,Tan,Hold - Doc,,,,,Large,Mix,M,,,11,,,,,372
  Dog Holding E,14,A0058640135,,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",,Tan,Hold - Legal Notice,6/10/2025 12:01 AM,,,,Large,Mix,U,,,09,,,,,372
  Dog Holding F,16,A0053813799,KOBE,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",2y 0d,Black,Hold - Behavior,,medically cleared,,450.00,Small,Mix,M,White,,08,,,,,372
  Dog Holding F,16,A0058260777,Brock,Dog,"Terrier, American Pit Bull",2m 1d,Brown,Hold - Special Event,,,,0.00,Small,Mix,M,White,,07,,,,,372
  Dog Holding F,16,A0058260784,Ash,Dog,"Terrier, American Pit Bull",2m 1d,Black,Hold - Special Event,,,,0.00,Small,Mix,M,White,,07,,,,,372
  Dog Holding F,16,A0058260790,Misty,Dog,"Terrier, American Pit Bull",2m 1d,Brown,Hold - Special Event,,,,0.00,Small,Mix,F,White,,07,,,,,372
  Dog Holding F,16,A0058365130,Chico,Dog,"Terrier, Boston",8m 13d,Black,Hold - Legal Notice,6/6/2025 12:01 AM,,,,Small,Mix,M,White,,03,,,,,372
  Dog Holding F,16,A0058419207,Gunther,Dog,"Mixed Breed, Small (under 24 lbs fully grown)",5y 1m 4d,Grey,Hold - Surgery,,Cleared for Dispo. NSA,,,Small,Mix,M,White,,10,,,,,372
  Dog Holding F,16,A0058419259,TAFFY,Dog,"Mixed Breed, Small (under 24 lbs fully grown)",5y 1m 4d,White,Hold - Surgery,,Cleared for Dispo. NSA,,,Small,Mix,M,,,10,,,,,372
  Dog Holding F,16,A0058419271,Tito,Dog,"Mixed Breed, Small (under 24 lbs fully grown)",5y 1m 4d,White,Hold - Surgery,,Cleared for Dispo. NSA,,,Small,Mix,M,,,10,,,,,372
  Dog Holding F,16,A0058434996,Trouble,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",1y 1m 1d,Brown,Hold - Doc,,,,,Large,Mix,F,White,,09,,,,,372
  Dog Holding F,16,A0058553982,PICCOLO,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",4y 14d,Silver,Hold - Behavior Mod.,,,,250.00,Medium,Mix,M,,,12,,,,,372
  Dog Holding F,16,A0058579144,COCO,Dog,Maltese,8m 9d,White,Hold - Surgery,,,,,Small,Mix,M,,,05,,,,,372
  Dog Holding F,16,A0058581968,LUNA,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",,Brown,Hold - Doc,,Cleared 6/3 for Disp. NSA,,,Large,Mix,F,White,,01,,,,,372
  Dog Holding F,16,A0058598619,SUDS,Dog,"Chihuahua, Short Coat",5y 8d,Black,Hold - Behavior Mod.,,,,,Small,"Terrier, Rat",M,White,,02,,,,,372
  Dog Holding F,16,A0058604196,Charles,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",5y 7d,Black,Hold - Behavior,,medically cleared,,,Large,Mix,M,Tan,,11,,,,,372
  Dog Holding F,16,A0058621763,Herman,Dog,"Mixed Breed, Small (under 24 lbs fully grown)",2y 4d,Red,Hold - Behavior Mod.,,,,250.00,Small,Mix,M,Black,,04,,,,,372
  Dog Holding F,16,A0058640656,Laila,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",11y 2d,Tan,Hold - Doc,,,,,Medium,Mix,F,White,,06,,,,,372
  Farm,14,A0000782604,Xylord,Mini Horse,Miniature Horse,32y 5d,Black,Permanent Resident,,,,,Small,,M,White,,Stall #5,,,,,372
  Farm,14,A0036675257,Brooster,Farm Type Fowl,Chicken,8y 2m 5d,Rust,Permanent Resident,,,,,Large,,M,Black,,Stall #1,,,,,372
  Farm,14,A0038590512,Lady Marmalade,Farm Type Fowl,Chicken,7y 1m 17d,Apricot,Permanent Resident,,,,,Medium,,F,White,,Stall #1,,,,,372
  Farm,14,A0041015190,Frenchy,Farm Type Fowl,Chicken,,Black,Permanent Resident,,,,,Medium,,F,White,,Stall #1,,,,,372
  Farm,14,A0054810701,Itty Bitty Betty,Farm Type Fowl,Chicken,,Black,Permanent Resident,,,,,Small,,F,,,Stall #1,,,,,372
  Farm,14,A0054953161,Bonnie,Goat,Nubian,,Brown,Permanent Resident,,S/O Cleared For Dispo,Garage 18,,Large,Boer,F,White,,Stall #2,,,,,372
  Farm,14,A0054953163,Clara,Goat,Boer,1y 8m 22d,White,Permanent Resident,,,Garage 19,,Large,Nubian,F,Black,,Stall #2,,,,,372
  Farm,14,A0054953947,Iris,Farm Type Fowl,Chicken,,Lavender,Permanent Resident,,Clear for dispo- Signed Over 8,Garage 138,,Large,,F,,,Stall #1,,,,,372
  Farm,14,A0057300395,"Emerson ""Emmy""",Farm Type Fowl,Chicken,1y 6m 11d,White,Permanent Resident,,,,,Small,,F,Cream,,Farm,,,,,372
  Farm,14,A0058332064,Quailejandro,Domestic (Cage) Bird,"Quail, Japanese",,Brown,Hold - Possible Adoption,,,,,Small,,M,White,,Stall #2,,,,,372
  Farm,14,A0058349243,Zag,Farm Type Fowl,Chicken,1y 1m 15d,Red,Available,,,,,Small,,M,,,Stall #2,,,,,372
  Farm,14,A0058549222,McNugget,Farm Type Fowl,Chicken,3m 5d,Grey,Available,,,,,Medium,Chicken,M,Black,,Stall #3,,,,,372
  Farm,14,A0058553591,,Farm Type Fowl,Chicken,,Brown,Hold - Stray,5/29/2025 12:01 AM,,,,Small,,U,White,,Stall #3,,,,,372
  Farm,14,A0058648104,Duck Vader,Farm Type Fowl,Duck,,Black,Hold - Stray,6/11/2025 1:23 PM,,,,Small,,U,,,Farm,,,,,372
  Feature Room 1,1,A0054196266,WENDELL,Cat,Domestic Shorthair,1y 9m 15d,Brown,Available,,,,120.00,Small,,M,,,Feature Room 1,,,,,372
  Feature Room 2,1,A0058262248,PALM,Cat,Domestic Shorthair,5y 1m 22d,Brown,Available,,,,50.00,Small,,F,White,,Feature Room 2,,,,,372
  Foster Care Room,15,A0058096300,Gengar,Cat,Domestic Shorthair,2m 23d,Brown,Hold - Doc,,,,,Small,,M,,,02,,,,,372
  Foster Care Room,15,A0058096304,Lucario,Cat,Domestic Shorthair,2m 23d,Brown,Hold - Doc,,,,,Small,,M,White,,02,,,,,372
